data;

set NURSES := n1 n2 n3 n4 n5 n6 n7 n8 n9 n10 n11 n12 n13 n14 n15;
set SHIFTS := s1 s2 s3;
set DAYS := d1 d2 d3 d4 d5 d6 d7 d8 d9 d10 d11 d12 d13 d14 d15 d16 d17 d18 d19 d20 d21 d22 d23 d24 d25 d26 d27 d28;

param N := 15;
param J := 3;
param K := 28;

param demand (tr): d1 d2 d3 d4 d5 d6 d7 d8 d9 d10 d11 d12 d13 d14 d15 d16 d17 d18 d19 d20 d21 d22 d23 d24 d25 d26 d27 d28 :=
s1 4 3 3 4 3 3 2 4 2 3 4 2 2 2 2 4 3 3 3 2 3 3 3 4 3 3 2 2
s2 3 4 3 3 2 2 2 2 2 4 2 3 3 4 3 2 2 2 3 4 2 3 3 3 4 2 2 2
s3 2 2 4 2 2 3 2 2 4 2 4 2 4 2 4 3 4 2 3 3 3 4 2 3 3 3 3 2;

param workhours :=
n1  160
n2  80
n3  40
n4  80
n5  160
n6  160
n7  160
n8  160
n9  160
n10  160
n11  160
n12  160
n13  80
n14  160
n15  160;

param vacation (tr): d1 d2 d3 d4 d5 d6 d7 d8 d9 d10 d11 d12 d13 d14 d15 d16 d17 d18 d19 d20 d21 d22 d23 d24 d25 d26 d27 d28 :=
n1  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
n2  0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n3  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
n4  0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n5  0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n6  0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
n7  0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n8  0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n9  0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n10  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
n11  0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n12  0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n13  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
n14  0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
n15  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;

param pref_comp (tr): n1 n2 n3 n4 n5 n6 n7 n8 n9 n10 n11 n12 n13 n14 n15 :=
n1  0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
n2  0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
n3  0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
n4  0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
n5  0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
n6  0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
n7  0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
n8  0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
n9  0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
n10  0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
n11  0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
n12  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n13  0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
n14  0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
n15  0 0 0 0 0 0 0 0 0 1 0 0 0 0 0;

param unpref_comp (tr): n1 n2 n3 n4 n5 n6 n7 n8 n9 n10 n11 n12 n13 n14 n15 :=
n1  0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
n2  0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
n3  0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
n4  0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
n5  0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
n6  0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
n7  0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
n8  0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
n9  0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
n10  0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
n11  0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
n12  0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
n13  0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
n14  0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
n15  0 0 0 1 0 0 0 0 0 0 0 0 0 0 0;

param pref_shifts :=

[*,*,s1]: d1 d2 d3 d4 d5 d6 d7 d8 d9 d10 d11 d12 d13 d14 d15 d16 d17 d18 d19 d20 d21 d22 d23 d24 d25 d26 d27 d28 :=
n1  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n2  0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n3  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
n4  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
n5  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
n6  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n7  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n8  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n9  0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n10  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
n11  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
n12  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n13  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n14  0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n15  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0

[*,*,s2]: d1 d2 d3 d4 d5 d6 d7 d8 d9 d10 d11 d12 d13 d14 d15 d16 d17 d18 d19 d20 d21 d22 d23 d24 d25 d26 d27 d28 :=
n1  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n2  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n3  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n4  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n5  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n6  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n7  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
n8  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n9  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n10  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
n11  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
